Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
747,414,0.10854519158601761,0.060806162655353546,0.9410000443458557,526,556
694,413,0.05420568212866783,0.05996605008840561,0.9440000653266907,774,549
659,454,0.01782425493001938,0.1008409932255745,0.9300000667572021,929,734
597,459,-0.045587606728076935,0.10684545338153839,0.9380000233650208,1214,761
723,466,0.08225648105144501,0.11221364885568619,0.9230000376701355,642,787
600,423,-0.04020046070218086,0.0660606324672699,0.8870000243186951,1282,559
732,429,0.08668521046638489,0.07099836319684982,0.8760000467300415,720,576
593,419,-0.047251831740140915,0.0625249445438385,0.8920000195503235,1051,559
635,428,-0.006204314064234495,0.07019876688718796,0.878000020980835,864,598
686,439,0.042251795530319214,0.07985728234052658,0.8680000305175781,649,632
