Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
left:
841,368,0.05396859720349312,-0.0013449016259983182,0.25699999928474426,335,72
893,416,0.06841665506362915,0.012196469120681286,0.25600001215934753,275,135
856,238,0.0586664192378521,-0.03844534978270531,0.2590000033378601,282,81
768,533,0.0391431525349617,0.053311027586460114,0.3020000159740448,612,453
727,258,0.02381979115307331,-0.03564654290676117,0.28200000524520874,579,137
671,427,0.006978290621191263,0.018286488950252533,0.3060000240802765,549,265
545,286,-0.031650446355342865,-0.02608845755457878,0.27300000190734863,995,140
768,493,0.04030967131257057,0.04119618982076645,0.3110000193119049,693,406
690,288,0.02990863099694252,-0.0638575404882431,0.6840000152587891,440,910
681,274,0.02319779433310032,-0.07462377101182938,0.6860000491142273,431,866
666,270,0.011901912279427052,-0.0778728649020195,0.6880000233650208,499,855
641,290,-0.007006592582911253,-0.06244174763560295,0.6850000619888306,572,925

right:
722,340,0.05408881604671478,-0.02471284382045269,0.6850000619888306,613,1233
658,342,0.005909294355660677,-0.023576300591230392,0.6960000395774841,808,1236
717,329,0.052594635635614395,-0.034507229924201965,0.7160000205039978,482,1239
755,354,0.08059372007846832,-0.014437923207879066,0.6990000605583191,354,1303
