Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
661,518,0.004776453599333763,0.06480120122432709,0.4050000309944153,868,1096
502,523,-0.06596660614013672,0.06686637550592422,0.40400001406669617,1195,1103
520,431,-0.05580734461545944,0.024960599839687347,0.3890000283718109,1107,950
568,411,-0.035156697034835815,0.0163482204079628,0.3880000114440918,1014,917
695,432,0.0199880488216877,0.02649865858256817,0.406000018119812,781,986
592,625,-0.024838928133249283,0.10753621906042099,0.38700002431869507,994,1299
588,657,-0.02764085866510868,0.12618805468082428,0.40300002694129944,995,1402
536,658,-0.05184845253825188,0.12946000695228577,0.41200003027915955,1107,1404
697,633,0.022116567939519882,0.12327410280704498,0.4300000071525574,763,1428
719,467,0.03064166195690632,0.04204820096492767,0.4050000309944153,694,1010
