Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
826,330,0.08358240872621536,-0.020344123244285583,0.4320000112056732,129,420
696,328,0.0215927567332983,-0.021147996187210083,0.42900002002716064,430,430
775,321,0.058224067091941833,-0.02417098730802536,0.4240000247955322,237,423
772,423,0.05628737434744835,0.0232484582811594,0.42000001668930054,267,628
714,236,0.02897312492132187,-0.06221465393900871,0.4130000174045563,383,256
806,213,0.07012529671192169,-0.07197459042072296,0.4090000092983246,198,195
655,241,0.002230417914688587,-0.06240716204047203,0.4300000071525574,491,279
760,464,0.05303302779793739,0.04412739723920822,0.4390000104904175,268,755
707,464,0.028225155547261238,0.0454341322183609,0.4520000219345093,362,772
766,504,0.05797194316983223,0.06578432768583298,0.45500001311302185,244,876
