Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
809,445,0.12195633351802826,0.0656498521566391,0.6660000085830688,666,558
774,457,0.09662310034036636,0.07451531291007996,0.6670000553131104,776,600
709,480,0.048792675137519836,0.09049704670906067,0.6610000133514404,996,678
673,495,0.022817835211753845,0.1015104129910469,0.6620000600814819,1121,727
648,502,0.004728490952402353,0.10658609122037888,0.6620000600814819,1204,758
590,528,-0.03712628409266472,0.12505963444709778,0.6600000262260437,1397,833
831,506,0.1361066699028015,0.1086595356464386,0.6570000052452087,591,766
775,528,0.09589257836341858,0.12449118494987488,0.6570000052452087,780,833
748,535,0.07650364190340042,0.12952852249145508,0.6570000052452087,862,870
691,557,0.035300739109516144,0.1442539393901825,0.6520000100135803,1056,934
668,568,0.018909934908151627,0.1521095186471939,0.6520000100135803,1136,978
606,590,-0.025041386485099792,0.16627633571624756,0.6460000276565552,1331,1038
827,541,0.13262586295604706,0.13323508203029633,0.6540000438690186,597,878
795,551,0.10958349704742432,0.14018376171588898,0.6530000567436218,700,909
777,545,0.09703251719474792,0.13630852103233337,0.6550000309944153,759,891
752,554,0.0790136381983757,0.14254744350910187,0.6540000438690186,842,922
695,574,0.03820982947945595,0.15663425624370575,0.6530000567436218,1033,989
667,584,0.018085652962327003,0.1625325232744217,0.6480000019073486,1124,1020
611,603,-0.02144436351954937,0.17493149638175964,0.6440000534057617,1312,1092
837,570,0.1387055516242981,0.15283136069774628,0.6490000486373901,571,977
803,580,0.11458715051412582,0.1599399298429489,0.6490000486373901,674,1012
750,593,0.07687219232320786,0.1689203828573227,0.6480000019073486,848,1052
724,605,0.058186501264572144,0.17661608755588531,0.6450000405311584,955,1092
686,465,0.03791952505707741,0.09385361522436142,0.7790000438690186,994,598
721,497,0.06650342792272568,0.11898015439510345,0.76500004529953,864,717
737,513,0.07883769273757935,0.13065624237060547,0.7550000548362732,803,762
764,537,0.0996454730629921,0.14831054210662842,0.7440000176429749,699,840
770,561,0.10283880680799484,0.1651608943939209,0.7320000529289246,688,918
784,580,0.112949438393116,0.17866940796375275,0.7250000238418579,639,979
815,581,0.13694585859775543,0.17872090637683868,0.7220000624656677,531,988
841,603,0.15528292953968048,0.1934025138616562,0.7120000123977661,449,1062
666,498,0.020541781559586525,0.11997468769550323,0.7660000324249268,1072,710
683,513,0.03441179171204567,0.13117539882659912,0.7580000162124634,998,776
726,543,0.06874384731054306,0.15320001542568207,0.7440000176429749,840,859
652,545,0.008106406778097153,0.14650565385818481,0.7040000557899475,1176,812
712,549,0.0535813607275486,0.1476776897907257,0.6950000524520874,977,824
740,548,0.0748513713479042,0.1469164490699768,0.6950000524520874,878,828
778,552,0.10312087088823318,0.14909832179546356,0.6910000443458557,737,835
800,569,0.11835058778524399,0.16008982062339783,0.6830000281333923,667,882
827,575,0.1372900754213333,0.16313263773918152,0.6770000457763672,584,908
850,558,0.1559048742055893,0.15208306908607483,0.6840000152587891,486,853
873,574,0.17132864892482758,0.16239109635353088,0.6770000457763672,405,895
888,562,0.18323656916618347,0.15417294204235077,0.6800000071525574,355,852
870,603,0.16586144268512726,0.18036414682865143,0.6640000343322754,423,989
673,583,0.023748470470309258,0.17206154763698578,0.6890000104904175,1077,937
701,587,0.0445745624601841,0.1740638166666031,0.6850000619888306,965,950
655,594,0.010178145952522755,0.1801011562347412,0.6880000233650208,1124,984
714,598,0.05375286191701889,0.18045389652252197,0.6780000329017639,908,983
744,604,0.07587265223264694,0.1846369057893753,0.6770000457763672,817,1009
807,609,0.12068137526512146,0.18556249141693115,0.6670000553131104,607,1009
832,616,0.13869908452033997,0.19039061665534973,0.6660000085830688,513,1029
895,619,0.18151140213012695,0.18939833343029022,0.6550000309944153,302,1031
660,605,0.013776035979390144,0.18619990348815918,0.6800000071525574,1083,1004
719,608,0.057119183242321014,0.1867716759443283,0.6740000247955322,846,1007
746,619,0.07655277848243713,0.19373568892478943,0.6700000166893005,759,1043
807,622,0.12031950801610947,0.19447505474090576,0.6650000214576721,561,1049
837,630,0.14169766008853912,0.19969969987869263,0.6630000472068787,467,1073
900,635,0.1839606910943985,0.19965046644210815,0.6510000228881836,268,1073
673,624,0.0233693215996027,0.19976207613945007,0.6780000329017639,1008,1067
708,623,0.048797424882650375,0.19696466624736786,0.6710000038146973,884,1059
761,634,0.0868842825293541,0.20321565866470337,0.6650000214576721,708,1097
795,635,0.11092600971460342,0.20271728932857513,0.6610000133514404,582,1089
851,649,0.1509268879890442,0.2122092992067337,0.659000039100647,414,1135
666,446,0.020541781559586525,0.07634620368480682,0.7660000324249268,876,590
713,452,0.058328621089458466,0.07925544679164886,0.7460000514984131,706,604
739,454,0.07824939489364624,0.07958848029375076,0.734000027179718,627,609
788,462,0.11451753228902817,0.08379347622394562,0.7150000333786011,448,618
813,463,0.13236770033836365,0.08351202309131622,0.706000030040741,368,624
868,471,0.16960963606834412,0.08703026920557022,0.6850000619888306,193,640
655,495,0.011139744892716408,0.11546425521373749,0.753000020980835,915,772
703,503,0.04930039495229721,0.11882039159536362,0.7330000400543213,742,781
728,504,0.06828941404819489,0.11782810091972351,0.7220000624656677,664,788
778,517,0.1049116775393486,0.12473741173744202,0.703000009059906,487,809
805,518,0.12404942512512207,0.1239006295800209,0.6940000057220459,394,809
862,529,0.1617426872253418,0.12787891924381256,0.6710000038146973,214,828
654,505,0.01028930488973856,0.12338338047266006,0.7510000467300415,902,804
703,513,0.04903136193752289,0.12615680694580078,0.7290000319480896,736,816
725,519,0.06555672734975815,0.12897181510925293,0.718000054359436,658,823
