Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
429,221,0.09191805869340897,-0.013361458666622639,0.5190000534057617,633,337
454,228,0.11777076870203018,-0.00769167160615325,0.5400000214576721,488,383
431,247,0.0965060293674469,0.009080327115952969,0.5350000262260437,585,465
388,286,0.05790984258055687,0.042712487280368805,0.5270000100135803,781,620
360,310,0.033461205661296844,0.06301084160804749,0.5230000019073486,887,711
344,324,0.019703974947333336,0.07489717751741409,0.5220000147819519,951,771
310,360,-0.009268206544220448,0.10435345768928528,0.51500004529953,1092,924
301,383,-0.016867371276021004,0.12381443381309509,0.51500004529953,1113,1015
461,310,0.12075415253639221,0.06337227672338486,0.5260000228881836,496,760
492,286,0.1494508981704712,0.043198782950639725,0.5330000519752502,368,672
422,220,0.08927427977323532,-0.014761910773813725,0.5390000343322754,506,326
395,231,0.06602118909358978,-0.005067321937531233,0.5440000295639038,620,372
340,253,0.017185144126415253,0.014783543534576893,0.5509999990463257,846,468
312,265,-0.008212354965507984,0.025972677394747734,0.5580000281333923,954,519
294,275,-0.024812357500195503,0.03532937169075012,0.5610000491142273,1027,564
253,290,-0.06352594494819641,0.04994354024529457,0.5700000524520874,1199,630
240,305,-0.07594029605388641,0.06421545147895813,0.5720000267028809,1243,702
236,265,-0.08066675066947937,0.02695014514029026,0.5790000557899475,1243,539
418,286,0.08303526043891907,0.04230724647641182,0.5220000147819519,563,518
399,312,0.06664660573005676,0.06448186188936234,0.5210000276565552,632,617
367,361,0.03878437355160713,0.10499531030654907,0.5139999985694885,750,826
350,395,0.02436310239136219,0.13318757712841034,0.5120000243186951,841,945
370,215,0.044447120279073715,-0.01968814618885517,0.5530000329017639,802,251
343,230,0.020472988486289978,-0.006213128101080656,0.5670000314712524,909,318
300,258,-0.020119139924645424,0.02050146274268627,0.5850000381469727,1093,444
277,276,-0.04311615973711014,0.03864196687936783,0.5980000495910645,1183,524
261,286,-0.05909805744886398,0.048710066825151443,0.6010000109672546,1263,571
227,309,-0.09475703537464142,0.07308454066514969,0.6150000095367432,1418,698
206,295,-0.11649692058563232,0.059226084500551224,0.6180000305175781,1516,624
220,324,-0.10214626789093018,0.08852789551019669,0.6170000433921814,1467,765
353,278,0.02982155606150627,0.038569822907447815,0.5680000185966492,867,570
330,322,0.008698774501681328,0.08243481069803238,0.5879999995231628,964,779
318,350,-0.0029233458917587996,0.11153282970190048,0.5990000367164612,1018,903
309,364,-0.011840528808534145,0.1261475682258606,0.6030000448226929,1034,972
292,403,-0.029027285054326057,0.16697147488594055,0.6110000014305115,1117,1144
195,218,-0.12082651257514954,-0.017944013699889183,0.5850000381469727,1536,507
195,250,-0.12330499291419983,0.01307518407702446,0.597000002861023,1546,657
208,245,-0.10928411781787872,0.008075116202235222,0.5900000333786011,1492,631
247,248,-0.06973952054977417,0.010703939013183117,0.5750000476837158,1324,639
266,248,-0.050926435738801956,0.010517782531678677,0.5649999976158142,1255,630
293,253,-0.02550278604030609,0.014917697757482529,0.5560000538825989,1148,646
308,270,-0.01182920765131712,0.030447039753198624,0.5560000538825989,1103,714
323,272,0.0018277833005413413,0.03198378533124924,0.5509999990463257,1028,732
344,259,0.020307930186390877,0.019738253206014633,0.5380000472068787,961,670
376,306,0.04916534200310707,0.062079720199108124,0.5450000166893005,831,866
328,301,0.006448287516832352,0.05918801948428154,0.5600000023841858,1016,854
310,301,-0.01016803178936243,0.05971648544073105,0.5649999976158142,1088,851
264,295,-0.05483420938253403,0.056255195289850235,0.5870000123977661,1284,856
245,294,-0.07311974465847015,0.05529077351093292,0.5870000123977661,1365,855
202,290,-0.11723371595144272,0.052659761160612106,0.6010000109672546,1539,841
453,204,0.1147208884358406,-0.028447799384593964,0.5300000309944153,548,306
421,221,0.08658668398857117,-0.013593158684670925,0.527999997138977,690,378
409,246,0.07619869709014893,0.008094031363725662,0.527999997138977,759,485
388,254,0.0580197274684906,0.015033932402729988,0.527999997138977,848,533
363,252,0.03603360801935196,0.013173019513487816,0.5230000019073486,942,516
333,266,0.010270154103636742,0.025106461718678474,0.5210000276565552,1062,575
317,276,-0.0033903452567756176,0.03360171243548393,0.5200000405311584,1125,609
272,300,-0.04151415824890137,0.05379381403326988,0.5170000195503235,1307,698
248,277,-0.06101977452635765,0.03379344195127487,0.5100000500679016,1381,601
263,312,-0.04847745969891548,0.06312043964862823,0.5100000500679016,1321,742
457,201,0.12756317853927612,-0.033521488308906555,0.5720000267028809,393,371
427,206,0.09960289299488068,-0.028872985392808914,0.5730000138282776,509,409
414,229,0.0876951590180397,-0.007245499175041914,0.5750000476837158,504,536
394,230,0.06967876106500626,-0.0063774967566132545,0.5820000171661377,599,532
380,216,0.05641673877835274,-0.019798366352915764,0.5830000042915344,694,490
347,217,0.025130057707428932,-0.01903441734611988,0.5890000462532043,809,497
326,219,0.004924986977130175,-0.017360273748636246,0.5980000495910645,909,506
283,222,-0.03804299235343933,-0.014726107008755207,0.6110000014305115,1109,521
265,199,-0.05607440695166588,-0.037814751267433167,0.6110000014305115,1212,426
263,230,-0.058743275701999664,-0.0067719812504947186,0.6180000305175781,1213,570
255,325,-0.06933695822954178,0.0930245891213417,0.6410000324249268,1254,1015
284,263,-0.03740499168634415,0.026691468432545662,0.6170000433921814,1095,724
327,264,0.005964669864624739,0.027121441438794136,0.6040000319480896,907,717
347,264,0.02559937909245491,0.026941830292344093,0.6000000238418579,827,715
391,265,0.06784940510988235,0.027508696541190147,0.5910000205039978,630,715
413,263,0.08826116472482681,0.025307144969701767,0.5850000381469727,539,701
457,264,0.1293472945690155,0.026043768972158432,0.5800000429153442,338,700
455,278,0.12898358702659607,0.03986001014709473,0.5870000123977661,329,771
409,278,0.08572354167699814,0.04033534228801727,0.5940000414848328,515,776
302,229,-0.01885426975786686,-0.007636125665158033,0.6060000061988831,1093,629
353,233,0.03144914284348488,-0.003611366031691432,0.5990000367164612,837,644
456,255,0.13193833827972412,0.017949329689145088,0.5960000157356262,359,742
491,258,0.16697493195533752,0.02099209651350975,0.5990000367164612,189,768
312,281,-0.008359529078006744,0.04136943817138672,0.5680000185966492,1024,835
358,285,0.034356385469436646,0.04494345933198929,0.5660000443458557,791,845
372,286,0.0474315769970417,0.045954424887895584,0.5670000314712524,730,850
422,289,0.0944087952375412,0.049007050693035126,0.5700000524520874,502,864
318,330,-0.002713489579036832,0.08525649458169937,0.5560000538825989,965,1031
367,333,0.04195352643728256,0.0879969596862793,0.5560000538825989,733,1037
424,336,0.09425093233585358,0.09106381982564926,0.5580000281333923,488,1056
482,341,0.14836829900741577,0.09633335471153259,0.562000036239624,242,1082
336,303,0.013941111974418163,0.06168202683329582,0.5660000443458557,855,920
350,291,0.025124449282884598,0.047130972146987915,0.527999997138977,894,762
361,265,0.034646764397621155,0.024576297029852867,0.527999997138977,843,656
409,284,0.07562144100666046,0.040747515857219696,0.5240000486373901,654,741
359,287,0.03434925153851509,0.045562926679849625,0.5509999990463257,801,779
346,318,0.02297462336719036,0.07482907921075821,0.5600000023841858,835,898
357,338,0.03331029415130615,0.09389626979827881,0.5640000104904175,789,990
327,343,0.0055894092656672,0.09887884557247162,0.5660000443458557,860,1011
330,281,0.009275734424591064,0.045666616410017014,0.6270000338554382,856,736
